2008-01-02,stock,000001.SH
2008-01-02,stock,399001.SZ
2008-01-02,stock,000300.SH
2008-01-02,stock,000016.SH
2008-01-02,stock,000905.SH
2008-01-02,stock,000010.SH
2008-01-02,stock,000009.SH
2008-01-02,stock,000906.SH
2008-01-02,stock,000852.SH
2008-01-02,stock,000002.SH
2008-01-02,stock,000003.SH
2008-01-02,stock,000015.SH
2008-01-02,stock,399106.SZ
2008-01-02,stock,399107.SZ
2008-01-02,stock,399108.SZ
2008-01-02,stock,399004.SZ
2008-01-02,stock,CI005019.WI
2008-01-02,stock,CI005006.WI
2008-01-02,stock,CI005013.WI
2008-01-02,stock,CI005009.WI
2008-01-02,stock,CI005011.WI
2008-01-02,stock,CI005003.WI
2008-01-02,stock,CI005005.WI
2008-01-02,stock,CI005001.WI
2008-01-02,stock,CI005025.WI
2008-01-02,stock,CI005026.WI
2008-01-02,stock,CI005016.WI
2008-01-02,stock,CI005027.WI
2008-01-02,stock,CI005007.WI
2008-01-02,stock,CI005010.WI
2008-01-02,stock,CI005024.WI
2008-01-02,stock,CI005028.WI
2008-01-02,stock,CI005012.WI
2008-01-02,stock,CI005015.WI
2008-01-02,stock,CI005020.WI
2008-01-02,stock,CI005008.WI
2008-01-02,stock,CI005014.WI
2008-01-02,stock,CI005029.WI
2008-01-02,stock,CI005017.WI
2008-01-02,stock,CI005018.WI
2008-01-02,stock,CI005004.WI
2008-01-02,stock,CI005002.WI
2008-01-02,stock,CI005023.WI
2008-01-02,stock,CI005022.WI
2008-01-02,stock,CI005021.WI
2008-01-02,stock,000901.SH
2008-01-02,stock,399975.SZ
2008-01-02,stock,000012.SH
2008-01-02,stock,399986.SZ
2008-01-02,stock,000819.SH
2008-01-02,stock,CI005201.WI
2008-01-02,stock,CI005202.WI
2008-01-02,stock,CI005203.WI
2008-01-02,stock,CI005204.WI
2008-01-02,stock,CI005205.WI
2008-01-02,stock,CI005206.WI
2008-01-02,stock,CI005207.WI
2008-01-02,stock,CI005208.WI
2008-01-02,stock,CI005209.WI
2008-01-02,stock,CI005210.WI
2008-01-02,stock,CI005211.WI
2008-01-02,stock,CI005212.WI
2008-01-02,stock,CI005213.WI
2008-01-02,stock,CI005214.WI
2008-01-02,stock,CI005215.WI
2008-01-02,stock,CI005216.WI
2008-01-02,stock,CI005217.WI
2008-01-02,stock,CI005218.WI
2008-01-02,stock,CI005219.WI
2008-01-02,stock,CI005220.WI
2008-01-02,stock,CI005221.WI
2008-01-02,stock,CI005222.WI
2008-01-02,stock,CI005223.WI
2008-01-02,stock,CI005224.WI
2008-01-02,stock,CI005225.WI
2008-01-02,stock,CI005226.WI
2008-01-02,stock,CI005227.WI
2008-01-02,stock,CI005228.WI
2008-01-02,stock,CI005229.WI
2008-01-02,stock,CI005230.WI
2008-01-02,stock,CI005231.WI
2008-01-02,stock,CI005232.WI
2008-01-02,stock,CI005233.WI
2008-01-02,stock,CI005234.WI
2008-01-02,stock,CI005235.WI
2008-01-02,stock,CI005236.WI
2008-01-02,stock,CI005237.WI
2008-01-02,stock,CI005238.WI
2008-01-02,stock,CI005240.WI
2008-01-02,stock,CI005241.WI
2008-01-02,stock,CI005242.WI
2008-01-02,stock,CI005243.WI
2008-01-02,stock,CI005244.WI
2008-01-02,stock,CI005245.WI
2008-01-02,stock,CI005246.WI
2008-01-02,stock,CI005247.WI
2008-01-02,stock,CI005248.WI
2008-01-02,stock,CI005249.WI
2008-01-02,stock,CI005250.WI
2008-01-02,stock,CI005251.WI
2008-01-02,stock,CI005252.WI
2008-01-02,stock,CI005253.WI
2008-01-02,stock,CI005254.WI
2008-01-02,stock,CI005255.WI
2008-01-02,stock,CI005256.WI
2008-01-02,stock,CI005257.WI
2008-01-02,stock,CI005258.WI
2008-01-02,stock,CI005259.WI
2008-01-02,stock,CI005260.WI
2008-01-02,stock,CI005261.WI
2008-01-02,stock,CI005262.WI
2008-01-02,stock,CI005263.WI
2008-01-02,stock,CI005264.WI
2008-01-02,stock,CI005265.WI
2008-01-02,stock,CI005266.WI
2008-01-02,stock,CI005267.WI
2008-01-02,stock,CI005268.WI
2008-01-02,stock,CI005269.WI
2008-01-02,stock,CI005270.WI
2008-01-02,stock,CI005271.WI
2008-01-02,stock,CI005272.WI
2008-01-02,stock,CI005273.WI
2008-01-02,stock,CI005274.WI
2008-01-02,stock,CI005275.WI
2008-01-02,stock,CI005276.WI
2008-01-02,stock,CI005277.WI
2008-01-02,stock,CI005278.WI
2008-01-02,stock,CI005279.WI
2008-01-02,stock,CI005280.WI
2008-01-02,stock,CI005281.WI
2008-01-02,stock,CI005282.WI
2008-01-02,stock,CI005283.WI
2008-01-02,stock,CI005284.WI
2008-01-02,stock,CI005285.WI
2008-01-02,stock,CI005286.WI
2008-01-02,stock,CI005287.WI
2008-01-02,stock,CI005288.WI
2008-01-02,stock,CI005289.WI
2008-01-02,stock,CI005291.WI
2008-01-02,stock,CI005292.WI
2008-01-02,stock,CI005293.WI
2008-01-02,stock,CI005294.WI
2008-01-02,stock,CI005295.WI
2008-01-02,stock,CI005296.WI
2008-01-02,stock,CI005297.WI
2008-01-02,stock,CI005298.WI
2008-01-02,stock,CI005299.WI
2008-01-02,stock,CI005300.WI
2008-01-02,stock,CI005301.WI
2008-01-02,stock,CI005302.WI
2008-01-02,stock,CI005303.WI
2008-01-02,stock,CI005304.WI
2008-01-02,stock,CI005305.WI
2008-01-02,stock,CI005306.WI
2008-01-02,stock,CI005307.WI
2008-01-02,stock,CI005308.WI
2008-01-02,stock,CI005309.WI
2008-01-02,stock,CI005310.WI
2008-01-02,stock,CI005316.WI
2008-01-02,stock,CI005317.WI
2008-01-02,stock,CI005318.WI
2008-01-02,stock,CI005319.WI
